CompanyCode,InvoiceNumber,InvoiceDate,SalesType,BillToCustomerCode,Currency,PayTerm,SalesPersonCode,ExchangeRate,TotalInvoiceAmount,CustomerAccountCode,Line,ItemDesc,UOM,Qty,UnitPrice,Remarks,UsageID,CostCenter,OwnTaxRegion,TaxAmount,TaxCode,TRAN_TYPE,CUST_VOYAGENO,PTPVOYAGENO,VESSEL_CODE,VESSEL_NAME,GT,LOA,ATA,ATD,ATB,ATUB,LOCATION,REFERENCE,DocumentType,CargoType,Operater,THROUGHPUT,Remarks1,Remarks2,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,1,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,2,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,3,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,4,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,5,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,6,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,7,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,8,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,9,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,10,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,11,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,12,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,13,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,14,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,15,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,16,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,17,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,18,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,19,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,20,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,21,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,22,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,23,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,24,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,25,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,26,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
JPB,JPZ23080180,25/08/2023,JPZ,285,MYR,30,,,6885.00,2021001,27,INTERNAL HAULAGE OPERATION,,,85.00,,6666005,224,MY,,,,NA,,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,
